公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
四川伯乐帮科技有限公司,伯乐帮,15-50人,未融资,锦江区,Java开发工程师,3-5年,本科,9K-14K,创业不久的公司，发展空间大,"['3', '5']",4.0,"['9', '14']",10.25
四川千行你我科技有限公司,千行集团,150-500人,D轮及以上,高新区,java高级开发（编号：002）,3-5年,本科,10k-16k,"五险一金,带薪年假,周末双休,餐补话补","['3', '5']",4.0,"['10', '16']",11.5
四川生学教育科技有限公司,生学教育,150-500人,A轮,高新区,Java开发工程师,1-3年,本科,8k-15k,"绩效奖金,五险一金,带薪年假,弹性工作","['1', '3']",2.0,"['8', '15']",9.75
成都尼毕鲁科技股份有限公司,tap4fun,150-500人,不需要融资,高新区,Java开发工程师,不限,本科,15k-30k,"薪资福利,发展空间,团队氛围",[],0.0,"['15', '30']",18.75
北京悦畅科技有限公司,ETCP,500-2000人,B轮,金牛区,JAVA开发工程师,3-5年,本科,10k-20k,"公司前景好,个人发展好,氛围活跃","['3', '5']",4.0,"['10', '20']",12.5
成都康赛信息技术有限公司,成都康赛,150-500人,未融资,成华区,Java,1-3年,本科,8k以上,五险一金、带薪年假,"['1', '3']",2.0,['8'],8.0
深圳市顶聚科技有限公司,顶聚科技,15-50人,未融资,高新区,Java中级开发工程师,3-5年,本科,8k-15k,"五险一金,项目奖金,节日福利,带薪年假","['3', '5']",4.0,"['8', '15']",9.75
四川万益能源科技有限公司,万益能源,50-150人,不需要融资,武侯区,高级Java工程师,3-5年,本科,15k-25k,"六险一金,年度旅游,用餐补助,年终奖励","['3', '5']",4.0,"['15', '25']",17.5
ON CONNECTION SDN.BHD,天蝎,15-50人,不需要融资,龙泉驿区,JAVA工程师,3-5年,大专,15k-30k,"五险一金,不打卡,氛围好,团队好","['3', '5']",4.0,"['15', '30']",18.75
北京世联互动网络有限公司成都分公司,NAVER China,500-2000人,上市公司,高新区,NAVERChina Java开发工程师,3-5年,本科,9k-18k,"六险一金,技术氛围浓,出国机会,福利多样","['3', '5']",4.0,"['9', '18']",11.25
四川淘金你我信息技术有限公司,淘金云,500-2000人,上市公司,高新区,java开发,3-5年,本科,10k-16k,"五险一金,周末双休,餐补话补,期权","['3', '5']",4.0,"['10', '16']",11.5
上海联璧电子科技（集团）有限公司,联璧集团,500-2000人,B轮,锦江区,Java开发工程师,1-3年,本科,4k-8k,"五险一金,节日福利","['1', '3']",2.0,"['4', '8']",5.0
四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,上市公司,高新区,java开发工程师（中高级）,5-10年,本科,10k-20k,"五险一金,年终奖,双休","['5', '10']",7.5,"['10', '20']",12.5
广东鸿特普惠信息服务有限公司,鸿特普惠,2000人以上,D轮及以上,武侯区,java研发工程师,3-5年,大专,9k-18k,"双休,五险一金,年终奖,带薪年假","['3', '5']",4.0,"['9', '18']",11.25
多点生活（中国）网络科技有限公司,多点Dmall,500-2000人,A轮,高新区,JAVA中级工程师-运营研发部,1-3年,本科,10k-15k,新零售,"['1', '3']",2.0,"['10', '15']",11.25
成都可达可科技有限公司,可达可科技,15-50人,不需要融资,成华区,Java开发工程师,3-5年,本科,6k-10k,"技术牛,沟通理解强,学习能力强","['3', '5']",4.0,"['6', '10']",7.0
羿明信息技术股份有限公司,羿明数字,50-150人,A轮,高新区,Java,5-10年,本科,14k-18k,平台好，发展前景好的公司,"['5', '10']",7.5,"['14', '18']",15.0
上海帜讯信息技术股份有限公司,帜讯信息,500-2000人,上市公司,高新区,中高级JAVA工程师（成都）,3-5年,本科,13k-25k,探亲假/交通补助/晋升通道,"['3', '5']",4.0,"['13', '25']",16.0
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,高新区,高级软件工程师（JAVA）,5-10年,本科,23k-33k,"绩效奖金,工作餐,班车,定期体检","['5', '10']",7.5,"['23', '33']",25.5
四川汇揽熙云科技有限公司,汇揽熙云,15-50人,未融资,武侯区,Java开发工程师,3-5年,大专,10k-15k,"朝九晚六,年底双薪,带薪休假,广阔前景","['3', '5']",4.0,"['10', '15']",11.25
成都四象联创科技有限公司,四象联创,50-150人,未融资,郫县,Java中级开发工程师,3-5年,本科,10k-20k,"节假日福利,五险,周末双休,员工旅游","['3', '5']",4.0,"['10', '20']",12.5
北京火币天下网络技术有限公司,火币网,150-500人,A轮,武侯区,高级Java开发工程师,5-10年,本科,15k-25k,带薪年假，年终奖，下午茶，五险一金等,"['5', '10']",7.5,"['15', '25']",17.5
苏打出行成都交通科技有限公司,苏打科技,50-150人,A轮,高新区,高级Java开发工程师,3-5年,本科,12k-24k,"快速上升期,共享汽车,智能出行","['3', '5']",4.0,"['12', '24']",15.0
成都科来软件有限公司,科来软件,150-500人,A轮,高新区,资深Java开发工程师,5-10年,大专,12k-15k,五险一金 周末双休 公司高速发展中,"['5', '10']",7.5,"['12', '15']",12.75
北京永洪商智科技有限公司,永洪科技,150-500人,C轮,高新区,高级Java研发工程师,3-5年,本科,15k-20k,"大数据分析,C轮,丰厚期权,成长空间","['3', '5']",4.0,"['15', '20']",16.25
上海佰集信息科技有限公司,简书,50-150人,B轮,青羊区,简书成研-Java后台开发工程师,1-3年,本科,8k-15k,"大牛团队,福利多多,年终奖金,扁平管理","['1', '3']",2.0,"['8', '15']",9.75
广东鸿特普惠信息服务有限公司,鸿特普惠,2000人以上,D轮及以上,武侯区,高级java研发工程师,3-5年,大专,10k-18k,"发展方向,五险一金,周末双休,员工旅游","['3', '5']",4.0,"['10', '18']",12.0
杭州比智科技有限公司,奇点云,50-150人,A轮,高新区,高级Java开发工程师,3-5年,本科,15k-30k,"扁平化组织,快乐氛围,行业竞争力,AI智能","['3', '5']",4.0,"['15', '30']",18.75
中电科华云信息技术有限公司,电科华云,150-500人,A轮,高新区,高级Java开发工程师,5-10年,本科,10k-18k,"云平台,docke,分布式","['5', '10']",7.5,"['10', '18']",12.0
客如云科技（北京）股份有限公司,客如云,500-2000人,C轮,高新区,高级java开发工程师J11039,5-10年,本科,18k-30k,"弹性工作,股票期权,氛围好,季度奖金","['5', '10']",7.5,"['18', '30']",21.0
成都博智维讯信息技术股份有限公司,博智信息,150-500人,不需要融资,高新区,Java开发工程师,3-5年,大专,10k-15k,双休/餐补/体检/旅游/年终奖,"['3', '5']",4.0,"['10', '15']",11.25
北京世联互动网络有限公司成都分公司,NAVER China,500-2000人,上市公司,高新区,Java,3-5年,本科,10k-20k,14薪，六险一金（公积金12%）技术氛围浓厚,"['3', '5']",4.0,"['10', '20']",12.5
成都亿科环境科技有限公司,亿科环境,15-50人,不需要融资,武侯区,Java高级软件工程师,5-10年,大专,9k-12k,"弹性工作,年终奖金,餐饮补贴,专业培训","['5', '10']",7.5,"['9', '12']",9.75
成都碰她网络科技有限公司,成都碰她网络科技有限公司,50-150人,不需要融资,高新区,Java/Nodejs工程师,3-5年,本科,9k-16k,"补助齐全,不打卡,奖金,定期升薪","['3', '5']",4.0,"['9', '16']",10.75
昆仑智汇数据科技（北京）有限公司,K2DATA,50-150人,B轮,双流区,Java工程师/高级工程师,3-5年,本科,10k-20k,"行业风头,大牛带队,扁平化,环境好","['3', '5']",4.0,"['10', '20']",12.5
北京容联七陌科技有限公司,容联七陌,150-500人,D轮及以上,高新区,java工程师（成都）,1-3年,本科,8k-16k,"六险一金,免费零食,补充医疗","['1', '3']",2.0,"['8', '16']",10.0
四川慧流云科技有限公司,慧流云,15-50人,天使轮,高新区,java开发工程师,3-5年,本科,8K-12K,"十三薪,五险一金,氛围好,环境优美","['3', '5']",4.0,"['8', '12']",9.0
上海华钦信息科技股份有限公司,CLPS,500-2000人,未融资,高新区,高级Java开发工程师,5-10年,本科,10k-20k,"英文环境,发展空间,医疗项目","['5', '10']",7.5,"['10', '20']",12.5
成都贵鑫堂网络科技有限公司,贵鑫堂,50-150人,未融资,金牛区,Java web开发工程师,1-3年,本科,6k-10k,"绩效奖金,带薪年假","['1', '3']",2.0,"['6', '10']",7.0
深圳前海盘古天矶信息科技有限公司,盘古天矶,50-150人,未融资,锦江区,高级JAVA研发工程师,3-5年,本科,10k-20k,"双休,福利完善,大平台,发展好","['3', '5']",4.0,"['10', '20']",12.5
纽昂司软件技术（北京）有限公司,Nuance,2000人以上,上市公司,高新区,高级Java开发工程师,5-10年,本科,15k-23k,"人工智能,后端开发","['5', '10']",7.5,"['15', '23']",17.0
成都多米安科技有限公司,多米安,15-50人,未融资,锦江区,中级java工程师,3-5年,本科,6K-12K,双休、五险一金,"['3', '5']",4.0,"['6', '12']",7.5
思特沃克软件技术（成都）有限公司,ThoughtWorks,2000人以上,不需要融资,高新区,【成都】Java开发工程师,不限,不限,11k-18k,"技术领先,国际视野,技术社区,弹性工作",[],0.0,"['11', '18']",12.75
小马股份有限公司,小马股份,50-150人,不需要融资,武侯区,java开发工程师-中高级,3-5年,本科,8k-16k,六险一金,"['3', '5']",4.0,"['8', '16']",10.0
成都青之软件有限公司,青之软件,50-150人,不需要融资,高新区,高级Java工程师,5-10年,本科,12k-18k,"五险一金,带薪年假,年终奖金,周末双休","['5', '10']",7.5,"['12', '18']",13.5
华夏万家（成都）网络科技有限公司,华夏万家成都网络科技有限公司,150-500人,未融资,青羊区,高级Java开发工程师,3-5年,本科,10k-15k,"双休,五险一金,环境好,弹性工作时","['3', '5']",4.0,"['10', '15']",11.25
四川欣阳科技有限公司,欣阳科技,150-500人,不需要融资,高新区,java开发工程师,3-5年,本科,10K-15K,五险一金&nbsp;医疗行业,"['3', '5']",4.0,"['10', '15']",11.25
四川千行你我科技有限公司,千行集团,150-500人,D轮及以上,双流县,java/golang开发工程师,1-3年,本科,8k-12k,"五险一金,周末双休,带薪年假,餐补话补","['1', '3']",2.0,"['8', '12']",9.0
多点生活（中国）网络科技有限公司,多点Dmall,500-2000人,A轮,高新区,JAVA高级工程师-运营研发部,3-5年,本科,15k-25k,Java,"['3', '5']",4.0,"['15', '25']",17.5
四川省高岸为谷科技有限公司,高岸为谷,15-50人,未融资,高新区,Java开发工程师,3-5年,本科,7k-10k,"积极向上,五险一金,年终奖","['3', '5']",4.0,"['7', '10']",7.75
四川海德智和科技有限公司,海德智和科技,15-50人,不需要融资,锦江区,高级JAVA工程师,3-5年,本科,12k-20k,"团队优秀,办公环境好,发展方向广,管理岗","['3', '5']",4.0,"['12', '20']",14.0
北京众鸣在线科技有限公司,来用车,500-2000人,B轮,武侯区,Java开发工程师,3-5年,大专,8k-10k,"五险一金,补充医疗,年底双薪,节日福利","['3', '5']",4.0,"['8', '10']",8.5
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,武侯区,java开发工程师（成都）,3-5年,本科,10k-20k,"半年调薪,福利待遇佳,平台广阔","['3', '5']",4.0,"['10', '20']",12.5
优客逸家(成都)信息科技有限公司,优客逸家,500-2000人,C轮,高新区,JAVA高级软件工程师/JAVA开发主管,5-10年,本科,18k-25k,"互联网平台,发展前景,扁平文化,集团化发展","['5', '10']",7.5,"['18', '25']",19.75
成都康乔电子有限责任公司,康乔电子,50-150人,不需要融资,武侯区,JAVA开发,3-5年,本科,8k-16k,"双休,带薪年假","['3', '5']",4.0,"['8', '16']",10.0
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,高新区,Java软件开发工程师,3-5年,大专,8k-15k,"六险一金,带薪年假,发展空间大,平台好","['3', '5']",4.0,"['8', '15']",9.75
成都康赛信息技术有限公司,成都康赛,150-500人,未融资,成华区,高级Java,3-5年,本科,10k-20k,"Java,门户,后台开发","['3', '5']",4.0,"['10', '20']",12.5
四川华西集采电子商务有限公司,四川华西集采电子商务有限公司,15-50人,不需要融资,金牛区,高级Java开发工程师,5-10年,本科,9k-18k,JAVA,"['5', '10']",7.5,"['9', '18']",11.25
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,高新区,高级Java开发,3-5年,本科,18k-35k,"大平台,重点业务,发展空间","['3', '5']",4.0,"['18', '35']",22.25
多点生活（中国）网络科技有限公司,多点Dmall,500-2000人,A轮,高新区,Java工程师（门店系统方向）,3-5年,本科,10k-20k,新零售,"['3', '5']",4.0,"['10', '20']",12.5
成都筑邦科技有限公司,zolbon,15-50人,未融资,高新区,Java开发工程师,3-5年,本科,7k-10k,"大数据处理,物联网服务","['3', '5']",4.0,"['7', '10']",7.75
成都微核科技有限公司,微核科技,50-150人,上市公司,高新区,Java,5-10年,大专,15k-20k,绩效奖金 超长春节假,"['5', '10']",7.5,"['15', '20']",16.25
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,高新区,高级Java开发工程师,3-5年,大专,8k-12k,"交通便利,周末双休,自有项目,技术前沿","['3', '5']",4.0,"['8', '12']",9.0
成都西加云杉科技有限公司,西加云杉,150-500人,不需要融资,高新区,高级Java工程师,5-10年,本科,10k-15k,"核心项目,上升空间大","['5', '10']",7.5,"['10', '15']",11.25
广州市骑鹅游信息技术咨询服务有限公司,骑鹅旅行,50-150人,A轮,高新区,高级java工程师,5-10年,本科,15k-20k,"带薪年假,零食饮料,五险一金,员工旅游","['5', '10']",7.5,"['15', '20']",16.25
四川三德信息技术有限责任公司,三德软件,15-50人,未融资,高新区,Java中级工程师,1-3年,本科,5k-10k,"五险一金,交补,话补,绩效奖金","['1', '3']",2.0,"['5', '10']",6.25
丹露成都网络技术有限公司,丹露成都网络技术有限公司,150-500人,A轮,高新区,java开发工程师（支付产品线）,3-5年,本科,12k-20k,"五险一金,成长快,带薪年假,下午茶","['3', '5']",4.0,"['12', '20']",14.0
成都材智科技有限公司,材智科技,15-50人,不需要融资,高新区,Java中高级工程师,3-5年,本科,8k-12k,"弹性工作,员工旅游,五险一金","['3', '5']",4.0,"['8', '12']",9.0
四川虹广网络科技有限公司,四川虹广,少于15人,不需要融资,高新区,java开发工程师,3-5年,本科,9k-15k,"企业合伙人,原始股权","['3', '5']",4.0,"['9', '15']",10.5
成都房加家网络科技有限公司,房加加,50-150人,A轮,高新区,Java工程师,3-5年,大专,8k-10k,"员工福利,员工旅游,周末双休,绩效奖金","['3', '5']",4.0,"['8', '10']",8.5
佰钧成技术有限责任公司,佰钧成,2000人以上,不需要融资,高新区,Java开发工程师,3-5年,大专,8K-15K,六险一金 平台 金融项目,"['3', '5']",4.0,"['8', '15']",9.75
四川虹广网络科技有限公司,四川虹广,少于15人,不需要融资,高新区,java开发，项目主管,5-10年,本科,15k-20k,"原始股份,技术主管","['5', '10']",7.5,"['15', '20']",16.25
四川傲势科技有限公司,傲势科技,150-500人,不需要融资,青羊区,Java开发工程师,3-5年,本科,10K-15K,公司发展迅速，开放式工作环境，晋升机会多,"['3', '5']",4.0,"['10', '15']",11.25
上海华钦信息科技股份有限公司,CLPS,500-2000人,未融资,高新区,高级java开发工程师,5-10年,本科,15k-25k,医疗,"['5', '10']",7.5,"['15', '25']",17.5
四川久远银海软件股份有限公司,久远银海,500-2000人,上市公司,锦江区,java研发工程师,3-5年,本科,5k-10k,五险一金、年终绩效、生日福利、节日福利,"['3', '5']",4.0,"['5', '10']",6.25
四川生学教育科技有限公司,生学教育,150-500人,A轮,高新区,Java高级开发工程师,3-5年,本科,10k-17k,五险一金+绩效奖金+优厚福利+发展空间,"['3', '5']",4.0,"['10', '17']",11.75
北京世联互动网络有限公司成都分公司,NAVER China,500-2000人,上市公司,高新区,LINE Today Java开发工程师,3-5年,本科,10k-20k,"架构扁平,福利好,架构扁平,出国机会","['3', '5']",4.0,"['10', '20']",12.5
成都关心堂科技有限公司,关心堂,50-150人,A轮,成华区,中级Java软件工程师,3-5年,大专,8k-15k,"绩效奖金,年终奖,朝九晚六,周末双休","['3', '5']",4.0,"['8', '15']",9.75
成都连银信息技术有限公司,爱刷,50-150人,A轮,高新区,Java开发工程师,3-5年,本科,8k-15k,"周末双休,五险一金,升值空间,节假日福利","['3', '5']",4.0,"['8', '15']",9.75
四川新网银行股份有限公司,新网银行,150-500人,不需要融资,高新区,高级java工程师,3-5年,本科,13k-26k,"互联网银行,扁平化管理,晋升双通道,星空餐厅","['3', '5']",4.0,"['13', '26']",16.25
北京流金岁月文化传播股份有限公司成都分公司,北京流金岁月成都分公司,50-150人,上市公司,高新区,Java开发（高级）,3-5年,本科,10k-15k,"上市公司,司克兰团队,成人达己,无我利他","['3', '5']",4.0,"['10', '15']",11.25
成都小二当家网络科技有限公司,小二当家,15-50人,未融资,金牛区,Java开发工程师,3-5年,本科,8K-12K,公司项目新颖、潜力大、发展空间大,"['3', '5']",4.0,"['8', '12']",9.0
四川省亚中医疗仪器有限责任公司,亚中医疗,150-500人,未融资,武侯区,JAVA软件开发工程师,3-5年,本科,7k-12k,"薪资高,半年旅行,健身卡,商业保险","['3', '5']",4.0,"['7', '12']",8.25
成都盈透网络科技有限公司,盈透科技,15-50人,不需要融资,高新区,JAVA开发工程师,3-5年,不限,7k-14k,"领导OK,团队OK","['3', '5']",4.0,"['7', '14']",8.75
深圳市慧择时代科技有限公司,慧择网,500-2000人,B轮,高新区,Java开发工程师,3-5年,本科,10k-15k,"金融科技,综合金融,快速成长,独立工作","['3', '5']",4.0,"['10', '15']",11.25
北京云图金控科技有限公司,云图金控,50-150人,未融资,锦江区,高级JAVA工程师,5-10年,大专,12k-16k,"领导好,福利多,空间大","['5', '10']",7.5,"['12', '16']",13.0
四川久远银海软件股份有限公司,久远银海,500-2000人,上市公司,锦江区,中高级java开发工程师,3-5年,本科,8k-15k,"五险一金,年终奖,带薪年假,节日福利","['3', '5']",4.0,"['8', '15']",9.75
四川生学教育科技有限公司,生学教育,150-500人,A轮,高新区,Java中级开发工程师,1-3年,本科,6k-9k,五险一金+绩效奖金+优厚福利+发展空间,"['1', '3']",2.0,"['6', '9']",6.75
北京创锐文化传媒有限公司,聚美优品,2000人以上,上市公司,高新区,JAVA开发工程师（新零售）,3-5年,本科,10k-20k,"五险一金,带薪年假,发展好,学习空间大","['3', '5']",4.0,"['10', '20']",12.5
北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,A轮,武侯区,高级java开发工程师,3-5年,本科,18k-30k,"大平台,五险一金,定期体检,绩效激励","['3', '5']",4.0,"['18', '30']",21.0
铁皮人科技有限公司,铁皮人科技,50-150人,A轮,高新区,高级JAVA开发工程师,3-5年,本科,15k-20k,"六险一金,周末双休,顶级项目,弹性作息","['3', '5']",4.0,"['15', '20']",16.25
北京太合音乐文化发展有限公司,太合音乐（百度音乐）,500-2000人,不需要融资,高新区,高级Java开发工程师,3-5年,本科,10k-15k,"五险一金,年底奖金,带薪年假,音乐","['3', '5']",4.0,"['10', '15']",11.25
麦可思数据（成都）股份有限公司,麦可思,150-500人,不需要融资,武侯区,java开发工程师-成都-00486,3-5年,本科,10k-15k,新三板、市场份额30%以上,"['3', '5']",4.0,"['10', '15']",11.25
成都药王科技股份有限公司,药品终端网,150-500人,C轮,高新区,Java高级开发工程师,3-5年,本科,12k-20k,"弹性上班,技术分享,氛围融洽,技术大牛","['3', '5']",4.0,"['12', '20']",14.0
广州思迈特软件有限公司,广州思迈特,150-500人,不需要融资,武侯区,java开发工程师,3-5年,本科,10k-15k,"领导好,福利多多,员工旅游,六险一金","['3', '5']",4.0,"['10', '15']",11.25
成都之维安科技股份有限公司,成都之维安科技股份有限公司,150-500人,上市公司,武侯区,JAVA中级工程师,3-5年,本科,8k-12k,"行业潜力大,公司氛围好","['3', '5']",4.0,"['8', '12']",9.0
亚信科技（中国）有限公司,亚信,2000人以上,不需要融资,武侯区,Java工程师-成都,3-5年,本科,8k-15k,"弹性工作,六险一金,节日福利,氛围轻松","['3', '5']",4.0,"['8', '15']",9.75
四川天翼网络服务有限公司,天翼网络,150-500人,不需要融资,高新区,Java工程师,3-5年,不限,7k-13k,"工龄工资,带薪年假","['3', '5']",4.0,"['7', '13']",8.5
多点生活（中国）网络科技有限公司,多点Dmall,500-2000人,A轮,高新区,新零售Java中高级工程师,3-5年,本科,13k-25k,新零售,"['3', '5']",4.0,"['13', '25']",16.0
上海点融信息科技有限责任公司,点融,150-500人,D轮及以上,高新区,后端Java工程师 - CD3443,不限,本科,9k-16k,工程师文化,[],0.0,"['9', '16']",10.75
北京世联互动网络有限公司成都分公司,NAVER China,500-2000人,上市公司,高新区,Java开发工程师,3-5年,本科,10k-20k,"技术研发中,技术氛围浓,福利多样,出国机会","['3', '5']",4.0,"['10', '20']",12.5
北京太合音乐文化发展有限公司,太合音乐（百度音乐）,500-2000人,不需要融资,高新区,高级JAVA工程师,3-5年,不限,15k-20k,"空间大,平台好,待遇优","['3', '5']",4.0,"['15', '20']",16.25
北京世联互动网络有限公司成都分公司,NAVER China,500-2000人,上市公司,高新区,Java开发工程师,3-5年,本科,10k-20k,"技术研发中,技术氛围浓,福利多样,出国机会","['3', '5']",4.0,"['10', '20']",12.5
咪咕文化科技有限公司,咪咕,2000人以上,不需要融资,高新区,JAVA开发,3-5年,本科,15k-30k,"互联网,音乐,千万级产品,后端","['3', '5']",4.0,"['15', '30']",18.75
深圳市慧择时代科技有限公司,慧择网,500-2000人,B轮,高新区,高级Java开发工程师,5-10年,本科,10k-20k,"互联网科技,机会发展,成长空间,多样福利","['5', '10']",7.5,"['10', '20']",12.5
四川川大智胜软件股份有限公司,川大智胜,150-500人,上市公司,武侯区,java软件工程师,1-3年,本科,8k-15k,"氛围好,新业务","['1', '3']",2.0,"['8', '15']",9.75
成都松石科技有限公司,成都智悠行科技有限公司,50-150人,B轮,高新区,Java软件工程师,3-5年,本科,9k-15k,"节日礼金,年底体检,每月聚餐,团队出游","['3', '5']",4.0,"['9', '15']",10.5
成都摩宝网络科技有限公司,摩宝网络,50-150人,C轮,高新区,高级Java开发工程师,5-10年,本科,15k-20k,"支付,跨境,互联网金融,福利优厚","['5', '10']",7.5,"['15', '20']",16.25
北京云图金控科技有限公司,云图金控,50-150人,未融资,锦江区,中级JAVA工程师,3-5年,大专,8k-12k,"空间大,福利多,领导好","['3', '5']",4.0,"['8', '12']",9.0
四川中清科华云联科技有限公司,中清云联,50-150人,不需要融资,高新区,java高级开发工程师,5-10年,本科,15k-25k,"免费旅游,免费用餐,免费体检,各类补贴","['5', '10']",7.5,"['15', '25']",17.5
北京流金岁月文化传播股份有限公司成都分公司,北京流金岁月成都分公司,50-150人,上市公司,高新区,Java服务器端开发工程师（高级）,5-10年,本科,10k-15k,"六险一金,发展空间大,地铁周边,福利完善","['5', '10']",7.5,"['10', '15']",11.25
北京悦畅科技有限公司,ETCP,500-2000人,B轮,金牛区,初级JAVA开发工程师,1-3年,本科,6k-10k,"项目好,前景好,发展好,氛围好","['1', '3']",2.0,"['6', '10']",7.0
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,锦江区,JAVA开发工程师（成都）,3-5年,本科,15k-30k,世界500强，丰厚奖金,"['3', '5']",4.0,"['15', '30']",18.75
成都航天科工大数据研究院有限公司,成都大数据研究院,150-500人,不需要融资,高新区,高级JAVA工程师,5-10年,本科,10k-20k,"五险一金,午餐补助,补充医疗保,发展平台大","['5', '10']",7.5,"['10', '20']",12.5
科大讯飞股份有限公司,科大讯飞,2000人以上,上市公司,高新区,中高级java开发工程师,3-5年,本科,13k-20k,人工智能，上市公司，技术氛围好，团队大咖,"['3', '5']",4.0,"['13', '20']",14.75
成都启航信息技术有限公司,成都启航,15-50人,未融资,武侯区,JAVA开发工程师,3-5年,本科,7k-10k,"双休,五险一金,带薪年假,员工旅游","['3', '5']",4.0,"['7', '10']",7.75
重庆盼达汽车租赁有限公司,盼达用车,500-2000人,未融资,锦江区,Java 高级软件工程师,3-5年,本科,12k-20k,"五险一金,弹性工作,年终奖,活泼扁平化","['3', '5']",4.0,"['12', '20']",14.0
杭州笑联科技有限公司,笑联科技,15-50人,A轮,高新区,Java开发工程师,3-5年,本科,10k-20k,"双休,带薪年假,团队旅游,技术氛围强","['3', '5']",4.0,"['10', '20']",12.5
成都姝菲科技有限公司,姝菲科技,150-500人,不需要融资,高新区,Java高级工程师,3-5年,本科,10k-15k,福利好,"['3', '5']",4.0,"['10', '15']",11.25
成都摩宝网络科技有限公司,摩宝网络,50-150人,C轮,高新区,中级Java开发工程师,3-5年,本科,10k-15k,"支付,金融,福利优厚,少加班","['3', '5']",4.0,"['10', '15']",11.25
广州碧软信息科技有限公司,广州碧软,500-2000人,不需要融资,高新区,java,5-10年,本科,9k-15k,五险一金 周末双休 带薪年假,"['5', '10']",7.5,"['9', '15']",10.5
北京太合音乐文化发展有限公司,太合音乐（百度音乐）,500-2000人,不需要融资,高新区,高级Java工程师,3-5年,本科,10k-20k,"音乐行业,互联网+,互联网办公","['3', '5']",4.0,"['10', '20']",12.5
北京嘉遁数据科技有限公司,嘉遁数据科技,15-50人,不需要融资,高新区,高级java工程师,5-10年,大专,10k-16k,"技术氛围,技术挑战,福利多,核心团队","['5', '10']",7.5,"['10', '16']",11.5
深圳市彩米科技有限公司,深圳市彩米科技有限公司,150-500人,不需要融资,高新区,Java中级工程师,3-5年,本科,8k-15k,"五险一金,包三餐,年终奖,双休","['3', '5']",4.0,"['8', '15']",9.75
四川省商投信息技术有限责任公司,商投信息,15-50人,不需要融资,青羊区,JAVA开发工程师,3-5年,本科,7K-14K,"五险一金,过节礼品,团建活动","['3', '5']",4.0,"['7', '14']",8.75
北京开科唯识技术有限公司,开科唯识,500-2000人,未融资,武侯区,中级Java软件工程师,3-5年,本科,6k-12k,"团队氛围足,晋升空间大,团队技术强","['3', '5']",4.0,"['6', '12']",7.5
北京永洪商智科技有限公司,永洪科技,150-500人,C轮,武侯区,资深Java研发工程师-可视化方向,5-10年,本科,20k-30k,"大数据可视,C轮,股权激励,高端办公","['5', '10']",7.5,"['20', '30']",22.5
上海秦苍信息科技有限公司,买单侠,500-2000人,C轮,高新区,高级JAVA开发工程师,3-5年,本科,10k-20k,"技术大牛,氛围好,职位发展,晋升通道","['3', '5']",4.0,"['10', '20']",12.5
成都亿科环境科技有限公司,亿科环境,15-50人,不需要融资,武侯区,Java中级软件工程师,3-5年,大专,6k-8k,"年终奖金,绩效奖金,餐饮补贴,弹性工作","['3', '5']",4.0,"['6', '8']",6.5
成都风雷体育文化发展有限公司,风雷体育,少于15人,天使轮,金牛区,Java开发工程师,1-3年,本科,7K-10K,发展空间,"['1', '3']",2.0,"['7', '10']",7.75
新华三技术有限公司,H3C,2000人以上,上市公司,高新区,Java开发工程师,3-5年,本科,10K-15K,"带薪休假,14薪,餐补","['3', '5']",4.0,"['10', '15']",11.25
成都银犁冷藏物流股份有限公司,成都银犁,150-500人,不需要融资,武侯区,Java工程师,5-10年,不限,10K-18K,"平台稳健,项目前景好,公司领导好,晋升空间大","['5', '10']",7.5,"['10', '18']",12.0
广州碧软信息科技有限公司,广州碧软,500-2000人,不需要融资,高新区,Java,5-10年,本科,9k-18k,五险一金 周末双休 带薪年假 不出差,"['5', '10']",7.5,"['9', '18']",11.25
成都好玩一二三科技有限公司,成都好玩一二三科技有限公司,50-150人,不需要融资,高新区,Java高级开发工程师,3-5年,大专,13k-20k,"年终奖金,项目奖金,免费供餐,带薪年假","['3', '5']",4.0,"['13', '20']",14.75
上海佰集信息科技有限公司,简书,50-150人,B轮,青羊区,简书成研-Java后台开发工程师,1-3年,本科,8k-15k,"大牛团队,福利多多,年终奖金,扁平管理","['1', '3']",2.0,"['8', '15']",9.75
北京卡拉卡尔科技股份有限公司,卡拉卡尔,150-500人,不需要融资,高新区,初级JAVA开发,应届毕业生,本科,4k-6k,"五险一金,弹性上班,节日福利,年终奖",[],0.0,"['4', '6']",4.5
四川神通教育科技有限公司成都分公司,神通教育,50-150人,未融资,武侯区,资深java开发工程师,5-10年,本科,15k-20k,6险一金,"['5', '10']",7.5,"['15', '20']",16.25
